"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678423242.0000,0.7940,0.4950,-77.9258,0.4950,-2.8500,0.4000,2.2766,0.1000,igepn2023eufo,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:40:42,14.0000,6.0000
1678422924.0000,0.7952,0.2828,-77.9332,0.2828,-1.9100,0.2000,2.6241,0.1200,igepn2023eufk,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:35:24,44.0000,23.0000
1678422870.0000,0.7990,0.3536,-77.9227,0.3536,-2.8900,0.3000,2.1878,0.0800,igepn2023eufj,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:34:30,16.0000,6.0000
1678422636.0000,0.7902,0.3536,-77.9300,0.3536,-2.7700,0.3000,2.1023,0.0600,igepn2023eufg,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:30:36,15.0000,6.0000
1678422520.0000,0.7952,0.4950,-77.9237,0.4950,-2.0000,0.4000,2.2550,0.1300,igepn2023eufe,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:28:40,17.0000,8.0000
1678422289.0000,0.7913,0.4243,-77.9332,0.4243,-2.5400,0.3000,2.1448,0.0700,igepn2023eufb,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:24:49,17.0000,6.0000
1678422210.0000,0.7962,0.4243,-77.9280,0.4243,-3.1800,0.7000,2.0033,0.0700,igepn2023eufa,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:23:30,14.0000,7.0000
1678422104.0000,0.7942,0.2828,-77.9262,0.2828,-2.9300,0.2000,1.9404,0.0500,igepn2023euey,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:21:44,15.0000,6.0000
1678422004.0000,0.7917,0.4243,-77.9253,0.4243,-2.5700,0.4000,2.1393,0.0700,igepn2023euex,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:20:04,14.0000,6.0000
1678421961.0000,0.7953,0.4950,-77.9338,0.4950,-2.5200,0.5000,1.8068,0.1000,igepn2023euew,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:19:21,14.0000,6.0000
1678421792.0000,0.8060,0.1414,-77.9288,0.1414,-0.4900,0.2000,1.9928,0.0300,igepn2023euet,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:16:32,14.0000,6.0000
1678421574.0000,0.7957,0.3536,-77.9333,0.3536,-2.8300,0.3000,2.3362,0.0600,igepn2023eueq,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:12:54,18.0000,6.0000
1678421403.0000,0.8060,0.1414,-77.9228,0.1414,-1.0000,0.2000,1.9641,0.0200,igepn2023eueo,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:10:03,13.0000,6.0000
1678421242.0000,0.7985,0.4950,-77.9250,0.4950,-2.9100,0.4000,2.1833,0.1000,igepn2023euem,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:07:22,15.0000,6.0000
1678421105.0000,0.7893,0.4950,-77.9375,0.4950,-2.4400,0.5000,2.0340,0.1100,igepn2023euek,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:05:05,15.0000,7.0000
1678420898.0000,0.7992,0.4243,-77.9263,0.4243,-3.1000,0.7000,2.4652,0.0900,igepn2023eueh,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:01:38,15.0000,6.0000
1678420610.0000,0.7887,0.3536,-77.9377,0.3536,-2.6400,0.3000,2.1886,0.0600,igepn2023eued,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:56:50,15.0000,8.0000
1678420443.0000,0.7903,0.4243,-77.9240,0.4243,-2.0000,0.3000,2.3417,0.1100,igepn2023euea,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:54:03,18.0000,7.0000
1678420162.0000,0.7967,0.4243,-77.9248,0.4243,-2.8800,0.3000,1.9524,0.1000,igepn2023eudw,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:49:22,15.0000,6.0000
1678420162.0000,0.8002,0.3536,-77.9267,0.3536,-3.2400,0.8000,1.9468,0.0900,igepn2023eudx,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:49:22,15.0000,6.0000
1678420038.0000,0.7955,0.3536,-77.9238,0.3536,-2.9400,0.3000,2.2028,0.0700,igepn2023eudv,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:47:18,15.0000,6.0000
1678419844.0000,0.7927,0.5657,-77.9290,0.5657,-3.0000,0.9000,2.0315,0.1600,igepn2023euds,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:44:04,16.0000,6.0000
1678419696.0000,0.7792,0.5657,-77.9162,0.5657,-1.0000,0.8000,2.0202,0.2600,igepn2023eudq,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:41:36,17.0000,8.0000
1678419566.0000,0.8038,0.4950,-77.9307,0.4950,-2.7900,0.5000,1.6381,0.1200,igepn2023eudo,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:39:26,15.0000,6.0000
1678419459.0000,0.7888,0.6364,-77.9293,0.6364,-3.4000,1.0000,1.8415,0.1400,igepn2023eudm,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:37:39,14.0000,6.0000
1678419385.0000,0.7930,0.4950,-77.9300,0.4950,-4.0000,0.7000,2.2065,0.1300,igepn2023eudl,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:36:25,16.0000,7.0000
1678419185.0000,0.7992,0.4243,-77.9308,0.4243,-2.8800,0.4000,1.9190,0.0900,igepn2023eudi,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:33:05,15.0000,6.0000
1678419005.0000,0.7903,0.7071,-77.9288,0.7071,0.0000,0.9000,1.9260,0.2200,igepn2023eudg,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:30:05,15.0000,6.0000
1678418655.0000,0.7985,0.3536,-77.9243,0.3536,-3.1200,0.7000,2.4497,0.0800,igepn2023euda,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:24:15,15.0000,6.0000
1678418468.0000,0.7885,0.4950,-77.9307,0.4950,-1.5500,0.5000,2.2276,0.1600,igepn2023eucy,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:21:08,21.0000,10.0000
1678418242.0000,0.7890,0.3536,-77.9283,0.3536,-2.8500,0.3000,2.4691,0.0500,igepn2023eucv,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:17:22,13.0000,6.0000
1678417813.0000,0.7883,0.3536,-77.9298,0.3536,-2.0000,0.3000,2.5357,0.1300,igepn2023eucp,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:10:13,26.0000,14.0000
1678417740.0000,0.7953,0.4243,-77.9260,0.4243,-2.5400,0.4000,2.0780,0.1000,igepn2023eucn,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:09:00,17.0000,8.0000
1678417598.0000,0.8065,0.2828,-77.9257,0.2828,-1.0000,0.5000,1.5339,0.0500,igepn2023eucm,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:06:38,12.0000,7.0000
1678417495.0000,0.7953,0.4950,-77.9232,0.4950,-2.8800,0.4000,1.7701,0.1000,igepn2023euck,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 22:04:55,13.0000,6.0000
